AMF,DISTURB,nem,TRATC,number ,galls ,masses,shootfresh,rootfresh,rootfreshcut,medicion,gallsperrootfres,shootdry,rootcutdry,rootdry,conteo1,conteo2,conteo3,rf,fr,coloniza,arbus,vesicles,hyphaes,relarbus,relvesic
HMA,N,nem,HMANNEM,1,46,11,19.3,10.5,7.8,post,4.380952381,2.9,0.8,1.076923077,na,,,,,29,14,2,3,48.27586207,6.896551724
HMA,N,nem,HMANNEM,2,33,4,21,11.2,8.7,post,2.946428571,3.6,0.9,1.15862069,na,,,,,44,17,3,24,38.63636364,6.818181818
HMA,N,nem,HMANNEM,3,52,4,12,3.9,2.3,post,13.33333333,2,0.3,0.508695652,na,,,,,30,17,1,12,56.66666667,3.333333333
HMA,N,nem,HMANNEM,4,73,10,14.1,7,4.8,post,10.42857143,2.3,0.4,0.583333333,na,,,,,24,9,0,15,37.5,0
HMA,N,nem,HMANNEM,5,17,2,6,3.1,1.7,post,5.483870968,0.9,0.1,0.182352941,na,,,,,46,30,6,10,65.2173913,13.04347826
HMA,N,nem,HMANNEM,6,41,9,13.8,8.8,6.8,post,4.659090909,2.3,0.7,0.905882353,na,,,,,35,12,3,20,34.28571429,8.571428571
HMA,N,nem,HMANNEM,7,56,14,19.6,7.4,5,post,7.567567568,3,0.4,0.592,1300,1660,2026,,16620,34,31,0,3,91.17647059,0
HMA,N,nem,HMANNEM,8,78,51,16.6,8.2,5.3,post,9.512195122,2.8,0.5,0.773584906,na,,,,,54,49,0,5,90.74074074,0
HMA,N,nem,HMANNEM,9,70,25,11.1,3.6,2.4,normal,19.44444444,1.9,0.25,0.375,131,501,589,,4070,26,26,0,0,100,0
,,,,,,,,,,,,,,,,,,,,,,,,,
